id;isbn;name;publish_year;copies;picture
1;helplessly;overvalue;now;12786;pushy
2;generously;regularly instructor;boo ;15491;once
3;down coolly y;yahoo hmph bin;new;23390;gah
4;whoa since as;zowie qua of;whet;24308;tributary why
5;before reckle;whether less;ster;29033;festival eek
6;unto yuck;opposite;velv;29937;upward querulous
7;ha;jaggedly mmm;cask;25108;geez gleefully while
8;worldly;almost under;almo;2917;discrete far-flung likewise
9;willfully amb;reboot;athw;21741;mooch
10;successfully ;around woeful besides;lid;16512;poppy indeed hunt
